fib_percent,entry_price,long_trades,long_wins,long_losses,long_inconclusive,long_win_rate,short_trades,short_wins,short_losses,short_inconclusive,short_win_rate,long_ev,short_ev
0.0,26008.5,1,1,0,0,100.0,1,0,1,0,0.0,2.0,-1.0
10.0,26012.88,1,1,0,0,100.0,1,0,1,0,0.0,2.0,-1.0
20.0,26017.25,1,1,0,0,100.0,1,0,1,0,0.0,2.0,-1.0
30.0,26021.62,2,2,0,0,100.0,2,0,2,0,0.0,2.0,-1.0
40.0,26026.0,3,2,1,0,66.67,3,0,3,0,0.0,1.0,-1.0
50.0,26030.38,3,2,1,0,66.67,3,0,3,0,0.0,1.0,-1.0
60.0,26034.75,10,3,7,0,30.0,10,0,10,0,0.0,-0.1,-1.0
70.0,26039.12,12,3,9,0,25.0,12,0,12,0,0.0,-0.25,-1.0
80.0,26043.5,13,4,9,0,30.77,13,1,12,0,7.69,-0.0769,-0.7692
90.0,26047.88,10,5,5,0,50.0,10,1,9,0,10.0,0.5,-0.7
100.0,26052.25,6,2,4,0,33.33,6,0,6,0,0.0,-0.0,-1.0
