rule,direction,trades,wins,losses,inconclusive,win_rate
base,long,5,0,5,0,0.0
base,short,62,34,28,0,54.84
wick_rejection,long,2,0,2,0,0.0
wick_rejection,short,7,1,6,0,14.29
close_reclaim,long,1,0,1,0,0.0
close_reclaim,short,6,2,4,0,33.33
break_pullback_reclaim,long,0,0,0,0,
break_pullback_reclaim,short,5,2,3,0,40.0
