fib_percent,entry_price,long_trades,long_wins,long_losses,long_inconclusive,long_win_rate,short_trades,short_wins,short_losses,short_inconclusive,short_win_rate,long_ev,short_ev
0.0,24966.0,12,11,1,0,91.67,12,0,12,0,0.0,1.75,-1.0
5.0,24973.02,14,13,1,0,92.86,14,0,14,0,0.0,1.7857,-1.0
10.0,24980.05,16,15,1,0,93.75,16,0,16,0,0.0,1.8125,-1.0
15.0,24987.08,19,17,2,0,89.47,19,0,19,0,0.0,1.6842,-1.0
20.0,24994.1,21,14,7,0,66.67,21,1,20,0,4.76,1.0,-0.8571
25.0,25001.12,20,11,9,0,55.0,20,0,20,0,0.0,0.65,-1.0
30.0,25008.15,22,15,7,0,68.18,22,0,22,0,0.0,1.0455,-1.0
35.0,25015.18,22,10,12,0,45.45,22,1,21,0,4.55,0.3636,-0.8636
40.0,25022.2,21,6,15,0,28.57,21,2,19,0,9.52,-0.1429,-0.7143
45.0,25029.22,18,1,17,0,5.56,18,1,17,0,5.56,-0.8333,-0.8333
50.0,25036.25,18,2,16,0,11.11,18,3,15,0,16.67,-0.6667,-0.5
55.0,25043.28,19,1,18,0,5.26,19,3,16,0,15.79,-0.8421,-0.5263
60.0,25050.3,17,2,15,0,11.76,17,4,13,0,23.53,-0.6471,-0.2941
65.0,25057.32,19,3,16,0,15.79,19,6,13,0,31.58,-0.5263,-0.0526
70.0,25064.35,19,3,16,0,15.79,19,9,10,0,47.37,-0.5263,0.4211
75.0,25071.38,24,5,19,0,20.83,24,17,7,0,70.83,-0.375,1.125
80.0,25078.4,25,6,19,0,24.0,25,15,10,0,60.0,-0.28,0.8
85.0,25085.42,23,5,18,0,21.74,23,12,11,0,52.17,-0.3478,0.5652
90.0,25092.45,20,4,16,0,20.0,20,12,8,0,60.0,-0.4,0.8
95.0,25099.48,14,4,10,0,28.57,14,8,6,0,57.14,-0.1429,0.7143
100.0,25106.5,13,5,7,1,41.67,13,5,6,2,45.45,0.25,0.3636
