direction,discovery_state,terminal_outcome,count,duration_minutes_mean,duration_minutes_std,max_extension_points_mean,max_extension_points_std,max_extension_atr_mean,max_extension_atr_std
down,D0,A,46,55.21739130434783,9.126062905469663,196.91304347826087,112.01247719923516,4.049190081479111,1.5308583887866631
down,D0,A*,12,16.666666666666668,5.365433699886597,90.91666666666667,36.31183336633173,1.6287426087280217,0.5922543033034554
down,D0,R,133,30.075187969924812,20.943511347862277,107.20864661654136,101.80799376828999,2.1775773362862823,1.7448165611140039
down,D1,A*,1,20.0,,59.75,,1.5917485250312227,
down,D1,R,2,15.0,7.0710678118654755,74.875,21.38998013089306,1.4340876067107313,0.22296620894503538
up,D0,A,73,56.71232876712329,7.1306837993257375,148.87328767123287,113.67106635002685,3.9976962640069744,2.0589522664283275
up,D0,A*,12,15.0,3.692744729379982,63.229166666666664,47.20066668603379,1.5505232097065793,0.6833906524775751
up,D0,R,148,37.567567567567565,21.60629857844026,95.10472972972973,99.16609363657186,2.542980276135988,2.1115864338725774
up,D1,R,1,15.0,,14.0,,0.6635478472421984,
