fib_percent,entry_price,long_trades,long_wins,long_losses,long_inconclusive,long_win_rate,short_trades,short_wins,short_losses,short_inconclusive,short_win_rate,long_ev,short_ev
0.0,25050.5,8,0,8,0,0.0,8,4,4,0,50.0,-1.0,0.5
2.5,25052.79,7,0,7,0,0.0,7,3,4,0,42.86,-1.0,0.2857
5.0,25055.09,6,0,6,0,0.0,6,2,4,0,33.33,-1.0,-0.0
7.5,25057.38,7,0,7,0,0.0,7,3,4,0,42.86,-1.0,0.2857
10.0,25059.68,6,0,6,0,0.0,6,3,3,0,50.0,-1.0,0.5
12.5,25061.97,8,0,8,0,0.0,8,4,4,0,50.0,-1.0,0.5
15.0,25064.26,9,0,9,0,0.0,9,5,4,0,55.56,-1.0,0.6667
17.5,25066.56,9,0,9,0,0.0,9,5,4,0,55.56,-1.0,0.6667
20.0,25068.85,9,0,9,0,0.0,9,5,4,0,55.56,-1.0,0.6667
22.5,25071.14,7,0,7,0,0.0,7,4,3,0,57.14,-1.0,0.7143
25.0,25073.44,7,0,7,0,0.0,7,4,3,0,57.14,-1.0,0.7143
27.5,25075.73,6,0,6,0,0.0,6,4,2,0,66.67,-1.0,1.0
30.0,25078.02,5,0,5,0,0.0,5,3,2,0,60.0,-1.0,0.8
32.5,25080.32,5,0,5,0,0.0,5,3,2,0,60.0,-1.0,0.8
35.0,25082.61,5,0,5,0,0.0,5,4,1,0,80.0,-1.0,1.4
37.5,25084.91,5,0,5,0,0.0,5,5,0,0,100.0,-1.0,2.0
40.0,25087.2,5,0,5,0,0.0,5,5,0,0,100.0,-1.0,2.0
42.5,25089.49,5,0,5,0,0.0,5,5,0,0,100.0,-1.0,2.0
45.0,25091.79,4,0,4,0,0.0,4,4,0,0,100.0,-1.0,2.0
47.5,25094.08,5,0,5,0,0.0,5,5,0,0,100.0,-1.0,2.0
50.0,25096.38,5,0,5,0,0.0,5,5,0,0,100.0,-1.0,2.0
52.5,25098.67,5,0,5,0,0.0,5,5,0,0,100.0,-1.0,2.0
55.0,25100.96,5,0,5,0,0.0,5,5,0,0,100.0,-1.0,2.0
57.5,25103.26,5,0,5,0,0.0,5,5,0,0,100.0,-1.0,2.0
60.0,25105.55,4,0,4,0,0.0,4,4,0,0,100.0,-1.0,2.0
62.5,25107.84,4,0,4,0,0.0,4,4,0,0,100.0,-1.0,2.0
65.0,25110.14,5,0,5,0,0.0,5,4,1,0,80.0,-1.0,1.4
67.5,25112.43,5,0,5,0,0.0,5,3,2,0,60.0,-1.0,0.8
70.0,25114.72,5,0,5,0,0.0,5,3,2,0,60.0,-1.0,0.8
72.5,25117.02,6,0,6,0,0.0,6,4,2,0,66.67,-1.0,1.0
75.0,25119.31,6,0,6,0,0.0,6,4,2,0,66.67,-1.0,1.0
77.5,25121.61,7,0,7,0,0.0,7,5,2,0,71.43,-1.0,1.1429
80.0,25123.9,7,0,7,0,0.0,7,5,2,0,71.43,-1.0,1.1429
82.5,25126.19,5,0,5,0,0.0,5,3,2,0,60.0,-1.0,0.8
85.0,25128.49,5,0,5,0,0.0,5,3,2,0,60.0,-1.0,0.8
87.5,25130.78,5,0,5,0,0.0,5,3,2,0,60.0,-1.0,0.8
90.0,25133.08,4,0,4,0,0.0,4,2,2,0,50.0,-1.0,0.5
92.5,25135.37,4,0,4,0,0.0,4,2,2,0,50.0,-1.0,0.5
95.0,25137.66,4,0,4,0,0.0,4,3,1,0,75.0,-1.0,1.25
97.5,25139.96,3,0,3,0,0.0,3,2,1,0,66.67,-1.0,1.0
100.0,25142.25,3,0,3,0,0.0,3,2,1,0,66.67,-1.0,1.0
