direction,discovery_state,A,C,R
down,D0,0.0,0.0,1.0
down,D1,0.0,0.0,1.0
down,D2,0.0,0.0,1.0
down,D3,0.0,0.0,1.0
down,D4,0.0,0.0,1.0
down,D5,0.0,0.0,1.0
down,D6,0.0,0.0,1.0
up,D0,0.0,0.0,1.0
up,D1,0.0,0.0,1.0
up,D2,0.0,0.0,1.0
up,D3,0.0,0.0,1.0
up,D4,0.0,0.0,1.0
up,D5,0.0,0.0,1.0
up,D6,0.0,0.0,1.0
