direction,discovery_state,n,mean_extension,std_extension,median_extension,mean_extension_atr,std_extension_atr,mean_retracement,std_retracement,mean_extension_ib,std_extension_ib
down,D0,241,39.3350622406639,97.11032184720091,13.0,1.3724351157532388,2.9174570030284515,51.35373443983403,41.31882675402562,0.44210111028280585,1.1137260455037716
down,D1,308,35.247564935064936,70.24334008501232,11.75,1.1806821824684892,2.171919261100135,47.69642857142857,39.85100471481111,0.3522485972843554,0.7015084400030233
down,D10,51,17.985294117647058,24.97836122350233,10.75,0.7804629940571842,1.3589410076029202,31.49019607843137,26.406200066665864,0.2101360181174521,0.47521260221331296
down,D11,40,27.675,45.080348495911394,7.75,1.0219655314757952,1.558964344836934,44.4375,50.15325071909405,0.29148453079502457,0.5448611302749089
down,D12,33,27.545454545454547,52.11737258888039,5.75,1.1119375066398014,1.681666924995971,37.378787878787875,43.584693109907846,0.3047059714780774,0.5485830498304868
down,D13,22,18.170454545454547,22.457550745747753,6.625,0.6315947087960005,0.6946873527144941,33.03409090909091,28.491779877058764,0.19025717902224848,0.25944140922657166
down,D14,14,27.035714285714285,34.856830412038704,18.125,1.1490206180294085,1.241096624255212,38.160714285714285,27.654219170175242,0.29128475540375426,0.24457598184209248
down,D15,10,13.575,22.370941593455065,7.0,0.6284532409705995,1.0114778326719716,27.2,26.288146885367684,0.18328986311308718,0.2880873590241789
down,D16,7,13.678571428571429,15.799336936056767,1.75,0.6421513888623162,0.7747492018597623,30.035714285714285,18.754681955130437,0.19406234974460088,0.2243828289038858
down,D17,4,8.25,12.187767091090421,3.125,0.4401261102102053,0.5964471713697608,20.375,19.27163286629686,0.11084651439006502,0.13592543550288963
down,D18,3,16.5,25.558755838264116,2.5,0.9142008233167922,1.3044102786768181,16.166666666666668,18.94949427645322,0.2065799720920567,0.2861454953686322
down,D19,2,2.625,1.9445436482630056,2.625,0.33527073896588766,0.3174474885722377,7.375,3.005203820042827,0.06484934912973526,0.050599969679028585
down,D2,290,34.53534482758621,75.51124942465904,12.25,1.1025752409647465,1.64074917521402,46.3,45.749015342893344,0.30003468486180507,0.45739148916923134
down,D3,269,27.631040892193308,50.0993860490784,10.0,0.9429522888958296,1.636949559361273,43.260223048327134,39.94854009748307,0.25524948142351533,0.464563684594444
down,D4,222,29.629504504504503,53.92892566828376,10.625,1.1388956936570516,1.7972327121631133,45.35585585585586,55.08041785986321,0.3175035711252987,0.6188278832881905
down,D5,188,35.73005319148936,67.00131644087296,11.625,1.2324756337263878,1.8681816359072725,47.73803191489362,47.55249902461076,0.31273343854073604,0.50757342117723
down,D6,155,29.833870967741934,59.46877439274707,10.0,1.0421953675727285,1.734473022210352,39.36290322580645,30.21180901326848,0.27110753943351645,0.4456037532470022
down,D7,119,30.23739495798319,59.99935424034113,8.5,1.021558072859121,1.6394490082718824,42.273109243697476,48.04347862671645,0.29763266136381494,0.5835490968075312
down,D8,93,25.669354838709676,41.241355505451914,11.0,0.9915150337334366,1.3731195195839145,36.446236559139784,31.296158290212556,0.25856051328672996,0.3706610461741487
down,D9,71,26.711267605633804,45.5632928676325,7.75,1.0031872209330746,1.4548531134314666,39.936619718309856,42.859190511109816,0.301853203546175,0.5136658854059155
up,D0,244,26.6547131147541,49.57892021360478,9.0,0.9024443656138701,1.556564190525773,43.177254098360656,37.49564563252896,0.26088867128537874,0.4697369823251193
up,D1,369,33.28455284552845,107.70331502698616,9.75,1.1211385693372817,1.970508098491072,40.553523035230356,47.87219754029579,0.3152629447407726,0.6064657614302742
up,D10,51,10.813725490196079,15.959859267648236,4.0,0.5255237631072095,0.7549673290191432,22.46078431372549,13.75784980920162,0.13250592075587073,0.2399496510056997
up,D11,36,25.395833333333332,32.21775104104657,10.375,1.2805395484018023,1.578733880725242,31.805555555555557,28.749044152502528,0.29733320981764033,0.4023140286000532
up,D12,27,8.592592592592593,9.870836061773316,4.0,0.42349537999297693,0.525633179321139,20.666666666666668,16.92176568346678,0.08995392737882853,0.10888855639466578
up,D13,22,12.0,30.656118786428575,3.125,0.461850037166807,0.7540370272933848,24.78409090909091,27.645641981382358,0.1795222941431643,0.4819984086353347
up,D14,14,8.75,9.013878188659973,6.625,0.41512427924485795,0.389803501800388,24.696428571428573,15.528874646998661,0.08642234803343052,0.08597205115226346
up,D15,8,6.59375,3.74627791471558,7.0,0.3666865841512944,0.25679892315412184,14.375,2.349011950343621,0.07104300300085653,0.05548631069366619
up,D16,6,26.708333333333332,19.3496877666454,29.875,1.4946145363610102,0.9141809170649589,37.125,17.032138738279468,0.280649519397507,0.1585964949232286
up,D17,2,25.0,19.79898987322333,25.0,1.7171968218750104,0.8379635840296413,23.25,5.303300858899107,0.3090911343168952,0.14498286127565416
up,D18,1,29.75,,29.75,2.8571933907274474,,23.25,,0.5586854460093896,
up,D2,342,26.752923976608187,44.03013987295226,9.625,1.0623020476659806,1.7132918380116413,38.433479532163744,36.259822176613596,0.2774310683361666,0.47293406549451245
up,D3,307,22.710097719869708,41.673061222926314,7.75,0.9314974811010549,1.656033998724494,34.105048859934854,35.11985429357844,0.238297231812196,0.45220642456853066
up,D4,268,23.379664179104477,37.6893003160548,7.375,1.0253110322967156,1.728141654751235,33.838619402985074,29.14691944388097,0.27265229279287395,0.4959979860097896
up,D5,221,26.70135746606335,44.729511032872004,9.0,1.0556204831979012,1.7795810775383096,38.41289592760181,37.35505385952762,0.26875489126608576,0.4817746387453168
up,D6,176,27.032670454545453,53.9312856271696,9.625,1.1821094578300617,1.9478412133800564,36.21448863636363,55.12078765526679,0.3116504609384957,0.579639753912161
up,D7,141,23.56382978723404,41.6235939729856,7.25,1.0686828636248282,1.839210621607127,31.663120567375888,28.81061910215824,0.25196359181624245,0.4535307137083584
up,D8,99,20.517676767676768,42.309103879403175,7.5,0.972351319135686,1.5200343149537272,27.93686868686869,20.46348612980256,0.268743123812011,0.7151581335791326
up,D9,72,23.322916666666668,39.69160245515097,5.875,1.2082925995993408,1.8993200060126523,29.28472222222222,19.666556009476228,0.291803725648227,0.4820336853283621
